位置,檔名,全部數,L-shape計數,排除壓右下,框外,方框上,方框下,方框左,方框右,單張外推_cells_per_mL,最終濃度_cells_per_mL,note
up,20260504143624.jpg,0,0,0,0,59,710,154,806,0,,
up,20260504143631.jpg,3,3,0,0,62,714,190,837,75000,,
up,20260504143636.jpg,6,6,0,0,67,717,191,841,150000,,
up,20260504143652.jpg,5,1,0,4,57,708,188,840,25000,,
up,20260504143700.jpg,3,3,0,0,61,713,191,849,75000,,
up,20260504143708.jpg,0,0,0,0,60,712,189,834,0,,
up,20260504143719.jpg,5,3,0,2,57,710,201,854,75000,,
up,20260504143725.jpg,3,3,0,0,50,703,194,846,75000,,
up,20260504143758.jpg,12,7,2,3,61,713,192,844,175000,,
up,20260504143807.jpg,14,5,0,9,55,708,185,835,125000,,
up,20260504143826.jpg,12,9,0,3,56,712,202,854,225000,,
up,20260504143836.jpg,13,6,0,7,60,715,190,835,150000,,
up,20260504143843.jpg,3,2,0,1,65,720,180,838,50000,,
up,20260504143849.jpg,3,3,0,0,80,725,178,833,75000,,
up,20260504143857.jpg,9,9,0,0,55,711,187,836,225000,,
up,20260504143918.jpg,10,3,0,7,67,720,196,850,75000,,
up,20260504143924.jpg,5,4,0,1,62,714,181,835,100000,,
up,20260504143929.jpg,8,4,1,3,57,709,191,830,100000,,
up,20260504143936.jpg,16,11,0,5,41,701,189,840,275000,,
up,20260504143948.jpg,12,6,2,4,45,697,169,832,150000,,
up,20260504144014.jpg,12,6,1,5,54,705,178,827,150000,,
up,20260504144023.jpg,10,8,1,1,60,711,179,830,200000,,
up,20260504144028.jpg,14,5,0,9,67,717,189,841,125000,,
up,20260504144035.jpg,14,11,0,3,71,722,186,830,275000,,
up,20260504144047.jpg,13,9,0,4,59,711,188,837,225000,,
──────────,,,,,,,,,,,,
Step 1 上室加總,(25 張),,127,,,,,,,,,上室所有 L-shape 計數加起來 = 127
,,,,,,,,,,,,
down,20260504144221.jpg,8,5,0,3,60,711,192,846,125000,,
down,20260504144239.jpg,13,11,0,2,60,711,187,839,275000,,
down,20260504144255.jpg,8,7,0,1,65,716,186,838,175000,,
down,20260504144307.jpg,9,6,0,3,65,714,175,828,150000,,
down,20260504144314.jpg,5,1,0,4,68,717,185,836,25000,,
down,20260504144322.jpg,16,8,0,8,66,715,179,831,200000,,
down,20260504144336.jpg,11,7,1,3,56,704,182,829,175000,,
down,20260504144342.jpg,5,3,0,2,46,698,187,831,75000,,
down,20260504144401.jpg,2,0,2,0,63,714,177,820,0,,
down,20260504144441.jpg,4,2,0,2,68,718,186,828,50000,,
down,20260504144453.jpg,11,11,0,0,37,690,185,828,275000,,
down,20260504144509.jpg,16,9,0,7,45,698,182,833,225000,,
down,20260504144513.jpg,11,8,0,3,49,703,186,835,200000,,
down,20260504144525.jpg,11,8,0,3,62,716,189,840,200000,,
down,20260504144534.jpg,8,6,0,2,69,723,188,845,150000,,
down,20260504144550.jpg,17,14,0,3,57,712,190,835,350000,,
down,20260504144558.jpg,6,3,0,3,53,707,187,817,75000,,
down,20260504144609.jpg,7,4,0,3,46,701,191,843,100000,,
down,20260504144615.jpg,7,6,0,1,41,695,194,835,150000,,
down,20260504144640.jpg,5,3,0,2,61,716,182,828,75000,,
down,20260504144711.jpg,12,9,0,3,65,716,185,835,225000,,
down,20260504144722.jpg,5,2,0,3,59,710,191,839,50000,,
down,20260504144728.jpg,1,1,0,0,63,715,179,827,25000,,
down,20260504144733.jpg,8,4,0,4,64,716,181,828,100000,,
down,20260504144746.jpg,4,2,0,2,53,703,186,830,50000,,
──────────,,,,,,,,,,,,
Step 2 下室加總,(25 張),,140,,,,,,,,,下室所有 L-shape 計數加起來 = 140
,,,,,,,,,,,,
──────────,,,,,,,,,,,,
Step 3 兩室合計,(共 50 張),,267,,,,,,,,,127 + 140 = 267 顆細胞 (在 2 microliter 內)
Step 4 ÷ 2 微升,,,133.5,,,,,,,,,267 ÷ 2 = 133.50 顆 / 1 microliter
Step 5 × 1000 (回推 1 mL),,,,,,,,,,,133500,"133.50 × 1000 × 1.0 (稀釋) = 133,500 cells/mL"
,,,,,,,,,,,,
⭐ 最終濃度,,,,,,,,,,,133500,"最終 = 133,500 cells/mL"
