位置,檔名,全部數,L-shape計數,排除壓右下,框外,方框上,方框下,方框左,方框右,單張外推_cells_per_mL,最終濃度_cells_per_mL,note
up,20260504141759.jpg,4,2,0,2,60,711,213,863,50000,,
up,20260504141821.jpg,6,5,0,1,61,714,192,842,125000,,
up,20260504141836.jpg,6,5,0,1,54,704,188,837,125000,,
up,20260504141846.jpg,3,2,0,1,58,710,189,840,50000,,
up,20260504141859.jpg,4,3,0,1,63,714,205,856,75000,,
up,20260504141908.jpg,3,2,1,0,48,701,197,846,50000,,
up,20260504141922.jpg,2,1,0,1,57,710,192,841,25000,,
up,20260504141937.jpg,4,3,0,1,53,705,189,839,75000,,
up,20260504141947.jpg,5,4,0,1,47,700,195,846,100000,,
up,20260504142011.jpg,7,3,2,2,55,708,176,821,75000,,
up,20260504142048.jpg,3,2,1,0,57,711,173,824,50000,,
up,20260504142100.jpg,2,1,0,1,74,720,193,847,25000,,
up,20260504142106.jpg,8,5,1,2,71,724,193,846,125000,,
up,20260504142120.jpg,9,4,0,5,75,729,191,834,100000,,
up,20260504142126.jpg,3,2,0,1,77,733,217,874,50000,,
up,20260504142143.jpg,4,2,0,2,59,711,218,865,50000,,
up,20260504142153.jpg,8,5,1,2,56,707,192,845,125000,,
up,20260504142205.jpg,3,1,0,2,57,709,192,839,25000,,
up,20260504142215.jpg,2,1,0,1,52,703,189,837,25000,,
up,20260504142222.jpg,5,2,0,3,46,698,183,825,50000,,
up,20260504142247.jpg,8,5,1,2,52,704,168,819,125000,,
up,20260504142259.jpg,4,3,0,1,57,708,191,839,75000,,
up,20260504142308.jpg,5,3,1,1,63,713,193,841,75000,,
up,20260504142312.jpg,6,2,1,3,68,718,184,831,50000,,
up,20260504142320.jpg,2,1,0,1,71,722,225,881,25000,,
──────────,,,,,,,,,,,,
Step 1 上室加總,(25 張),,69,,,,,,,,,上室所有 L-shape 計數加起來 = 69
,,,,,,,,,,,,
down,20260504142545.jpg,6,2,1,3,66,716,187,830,50000,,
down,20260504142558.jpg,5,3,1,1,65,718,186,840,75000,,
down,20260504142607.jpg,4,2,0,2,70,721,181,824,50000,,
down,20260504142619.jpg,3,1,0,2,73,725,184,836,25000,,
down,20260504142626.jpg,2,1,0,1,78,730,183,828,25000,,
down,20260504142632.jpg,3,2,0,1,55,706,180,824,50000,,
down,20260504142638.jpg,3,2,0,1,54,703,215,856,50000,,
down,20260504142643.jpg,4,2,1,1,48,699,192,847,50000,,
down,20260504142649.jpg,5,4,0,1,43,694,185,829,100000,,
down,20260504142655.jpg,3,2,0,1,37,687,187,837,50000,,
down,20260504142702.jpg,5,3,0,2,63,718,186,827,75000,,
down,20260504142708.jpg,3,2,0,1,68,721,189,831,50000,,
down,20260504142713.jpg,3,2,1,0,71,725,185,835,50000,,
down,20260504142718.jpg,6,3,0,3,75,728,191,842,75000,,
down,20260504142826.jpg,7,5,0,2,64,717,182,828,125000,,
down,20260504142830.jpg,6,3,1,2,70,722,174,808,75000,,
down,20260504142841.jpg,2,0,0,2,63,717,188,838,0,,
down,20260504142845.jpg,3,1,0,2,59,712,256,896,25000,,
down,20260504142849.jpg,6,6,0,0,56,708,214,869,150000,,
down,20260504142854.jpg,6,0,1,5,52,704,184,833,0,,
down,20260504142904.jpg,8,4,0,4,58,709,174,824,100000,,
down,20260504142911.jpg,4,2,1,1,62,714,186,833,50000,,
down,20260504142917.jpg,3,2,0,1,68,719,184,834,50000,,
down,20260504142927.jpg,4,4,0,0,71,721,178,828,100000,,
down,20260504142931.jpg,10,2,1,7,73,725,192,847,50000,,
──────────,,,,,,,,,,,,
Step 2 下室加總,(25 張),,60,,,,,,,,,下室所有 L-shape 計數加起來 = 60
,,,,,,,,,,,,
──────────,,,,,,,,,,,,
Step 3 兩室合計,(共 50 張),,129,,,,,,,,,69 + 60 = 129 顆細胞 (在 2 microliter 內)
Step 4 ÷ 2 微升,,,64.5,,,,,,,,,129 ÷ 2 = 64.50 顆 / 1 microliter
Step 5 × 1000 (回推 1 mL),,,,,,,,,,,64500,"64.50 × 1000 × 1.0 (稀釋) = 64,500 cells/mL [SENSITIVE flow=0.9 prob=-6.0]"
,,,,,,,,,,,,
⭐ 最終濃度 (敏感版),,,,,,,,,,,64500,"最終 = 64,500 cells/mL [step8 sensitive]"
