比例,真實cells/mL,R,G,B,線性預測,BL預測,線性殘差,BL殘差
1,64500,0.75,0.8,0.71,68449,59204,-3949,5296
1,64500,0.75,0.81,0.71,67551,69506,-3051,-5006
1,64500,0.75,0.8,0.72,64307,53246,193,11254
3,228000,0.65,0.8,0.55,211126,228332,16874,-332
3,228000,0.65,0.8,0.54,215268,236149,12732,-8149
3,228000,0.65,0.79,0.55,212024,217900,15976,10100
5,372000,0.5,0.72,0.4,395053,387264,-23053,-15264
5,372000,0.5,0.71,0.39,400094,386451,-28094,-14451
5,372000,0.5,0.72,0.4,395053,387264,-23053,-15264
8,586000,0.36,0.62,0.27,564853,569233,21147,16767
8,586000,0.32,0.56,0.23,617375,602803,-31375,-16803
8,586000,0.32,0.56,0.24,613233,584672,-27233,1328
9,575000,0.38,0.64,0.28,543633,557268,31367,17732
9,575000,0.34,0.6,0.26,586074,582222,-11074,-7222
9,575000,0.37,0.63,0.28,552172,555454,22828,19546
10,737755,0.21,0.45,0.16,740300,753678,-2545,-15923
10,737755,0.24,0.48,0.17,710540,725061,27215,12694
10,737755,0.22,0.45,0.16,732659,734060,5096,3695
