# 校準版本: step6 重測前
類型,比例,張號,R,G,B,真實cells/mL,A_R-only預測,A 殘差,B_RGB預測,B 殘差,C_BL預測,C 殘差
photo,1,1,0.75,0.8,0.71,13000,8359,4641,12955,45,4645,8355
photo,1,2,0.75,0.81,0.71,13000,8359,4641,9233,3767,8854,4146
photo,1,3,0.75,0.8,0.72,13000,8359,4641,9516,3484,-4490,17490
─avg─,1,(3張平均),0.75,0.803,0.713,13000,8359,4641,10568,2432,2994,10006
,,,,,,,,,,,,
photo,3,1,0.65,0.8,0.55,133500,145448,-11948,145957,-12457,168032,-34532
photo,3,2,0.65,0.8,0.54,133500,145448,-11948,149396,-15896,180015,-46515
photo,3,3,0.65,0.79,0.55,133500,145448,-11948,149679,-16179,163770,-30270
─avg─,3,(3張平均),0.65,0.797,0.547,133500,145448,-11948,148344,-14844,170587,-37087
,,,,,,,,,,,,
photo,5,1,0.5,0.72,0.4,372000,351082,20918,344285,27715,334118,37882
photo,5,2,0.5,0.71,0.39,372000,351082,20918,351446,20554,345914,26086
photo,5,3,0.5,0.72,0.4,372000,351082,20918,344285,27715,334118,37882
─avg─,5,(3張平均),0.5,0.717,0.397,372000,351082,20918,346672,25328,338011,33989
,,,,,,,,,,,,
photo,8,1,0.36,0.62,0.27,586000,543007,42993,535382,50618,532391,53609
photo,8,2,0.32,0.56,0.23,586000,597843,-11843,602662,-16662,599842,-13842
photo,8,3,0.32,0.56,0.24,586000,597843,-11843,599222,-13222,572047,13953
─avg─,8,(3張平均),0.333,0.58,0.247,586000,579565,6435,579089,6911,567006,18994
,,,,,,,,,,,,
photo,9,1,0.38,0.64,0.28,511000,515590,-4590,508903,2097,520673,-9673
photo,9,2,0.34,0.6,0.26,511000,570425,-59425,561860,-50860,544579,-33579
photo,9,3,0.37,0.63,0.28,511000,529298,-18298,520423,-9423,514707,-3707
─avg─,9,(3張平均),0.363,0.623,0.273,511000,538438,-27438,530395,-19395,526411,-15411
,,,,,,,,,,,,
photo,10,1,0.21,0.45,0.16,737755,748641,-10886,753453,-15698,752810,-15055
photo,10,2,0.24,0.48,0.17,737755,707515,30240,715454,22301,738237,-482
photo,10,3,0.22,0.45,0.16,737755,734932,2823,745655,-7900,753909,-16154
─avg─,10,(3張平均),0.223,0.46,0.163,737755,730363,7392,738188,-433,748245,-10490
,,,,,,,,,,,,
────────,────────,────────,────────,────────,────────,────────,────────,────────,────────,────────,────────,────────
模型,公式,,,,,,R²,RMSE
A R-only,"cells/mL = -1,370,893*R + 1,036,529",,,,,,0.9962,15550
B RGB,"cells/mL = -779,764*R + -372,215*G + -343,910*B + 1,139,726",,,,,,0.9966,14674
C BL,"cells/mL = -54,381*(-logR) + -780,169*(-logG) + 1,503,815*(-logB) + -136,635",,,,,,0.9913,23591
