# 校準版本: step8 sensitive 重測後
類型,比例,張號,R,G,B,真實cells/mL,A_R-only預測,A 殘差,B_RGB預測,B 殘差,C_BL預測,C 殘差
photo,1,1,0.75,0.8,0.71,64500,76538,-12038,74346,-9846,72556,-8056
photo,1,2,0.75,0.81,0.71,64500,76538,-12038,57764,6736,62156,2344
photo,1,3,0.75,0.8,0.72,64500,76538,-12038,52376,12124,49111,15389
─avg─,1,(3張平均),0.75,0.803,0.713,64500,76538,-12038,61495,3005,61223,3277
,,,,,,,,,,,,
photo,3,1,0.65,0.8,0.55,228000,220671,7329,238760,-10760,247441,-19441
photo,3,2,0.65,0.8,0.54,228000,220671,7329,260730,-32730,278199,-50199
photo,3,3,0.65,0.79,0.55,228000,220671,7329,255342,-27342,257972,-29972
─avg─,3,(3張平均),0.65,0.797,0.547,228000,220671,7329,251611,-23611,261126,-33126
,,,,,,,,,,,,
photo,5,1,0.5,0.72,0.4,478500,436871,41629,420307,58193,405341,73159
photo,5,2,0.5,0.71,0.39,478500,436871,41629,458860,19640,459491,19009
photo,5,3,0.5,0.72,0.4,478500,436871,41629,420307,58193,405341,73159
─avg─,5,(3張平均),0.5,0.717,0.397,478500,436871,41629,433158,45342,423254,55246
,,,,,,,,,,,,
photo,8,1,0.36,0.62,0.27,676500,638657,37843,609789,66711,608253,68247
photo,8,2,0.32,0.56,0.23,676500,696310,-19810,722319,-45819,753886,-77386
photo,8,3,0.32,0.56,0.24,676500,696310,-19810,700349,-23849,682545,-6045
─avg─,8,(3張平均),0.333,0.58,0.247,676500,677092,-592,677486,-986,679452,-2952
,,,,,,,,,,,,
photo,9,1,0.38,0.64,0.28,575000,609830,-34830,592077,-17077,616356,-41356
photo,9,2,0.34,0.6,0.26,575000,667483,-92483,627502,-52502,597854,-22854
photo,9,3,0.37,0.63,0.28,575000,624244,-49244,589948,-14948,582364,-7364
─avg─,9,(3張平均),0.363,0.623,0.273,575000,633852,-58852,603176,-28176,599500,-24500
,,,,,,,,,,,,
photo,10,1,0.21,0.45,0.16,858163,854856,3307,852695,5468,800175,57988
photo,10,2,0.24,0.48,0.17,858163,811616,46547,837111,21052,880738,-22575
photo,10,3,0.22,0.45,0.16,858163,840443,17720,871406,-13243,882470,-24307
─avg─,10,(3張平均),0.223,0.46,0.163,858163,835639,22524,853737,4426,856107,2056
,,,,,,,,,,,,
────────,────────,────────,────────,────────,────────,────────,────────,────────,────────,────────,────────,────────
模型,公式,,,,,,R²,RMSE
A R-only,"cells/mL = -1,441,330*R + 1,157,536",,,,,,0.9862,31366
B RGB,"cells/mL = 1,871,075*R + -1,658,209*G + -2,197,011*B + 1,557,485",,,,,,0.9919,23933
C BL,"cells/mL = -4,073,311*(-logR) + 1,927,775*(-logG) + 3,859,776*(-logB) + -179,460",,,,,,0.9888,28206
